,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
232,15.0,broccoli (calabrese),15.4,"Asda, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 05.09.2011 
233,15.0,broccoli (calabrese),15.5,"Sainsbury’s, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Sainsbur y’s, Longwater , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 05.09.2011 
234,15.0,broccoli (calabrese),15.6,"Morrison s, broccoli loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,,0.0,Purchase Date: 05.09.2011 
235,15.0,broccoli (calabrese),15.7,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 05.09.2011 
236,15.0,broccoli (calabrese),15.8,"Aldi, British broccoli ",Aldi ,350g ,05.09.2011 ,,Best Before Date: ,Batch Number: Supplier code: 348 JJ  Lot code: 3602 ,Supplier code: 348 JJ  Lot code: 3602 ,Plastic ,Ambient ,Refrigerated ,0.0,350g 
237,15.0,broccoli (calabrese),15.9,"Tesco, Market Value, broccoli ",Tesco Market Value ,293g ,05.09.2011 ,"Tesco, Blue Boar Road, Norwich ",06-Sep,Batch Number: 172855 CE ,172855 CE ,Plastic ,Ambient ,Refrigerated ,0.0,293g 
238,15.0,broccoli (calabrese),15.1,Market broccoli ,Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated ,0.0,400g 
239,15.0,broccoli (calabrese),15.11,,Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Cardboard ,Cardboard ,Ambient ,Refrigerated ,0.0,Purchase Date: 05.09.2011 
240,15.0,broccoli (calabrese),15.13,"Tesco, broccoli, florets ",Tesco ,200g ,28.11.2011 ,"Tesco, Blue Boar Road , Norwich ",30-Nov,30-Nov,10:56  11 ,Plastic ,Ambient ,Refrigerated ,0.0,200g 
241,15.0,broccoli (calabrese),15.14,"Asda, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Asda , Norwich ",Best Before Date : ,,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 28.11.2011 
242,15.0,broccoli (calabrese),15.15,"Asda, broccoli ",Asda ,335g ,28.11.2011 ,"Asda , Norwich ",28-Nov,30-Nov,900506,Plastic ,Ambient ,Refrigerated ,0.0,335g 
243,15.0,broccoli (calabrese),15.16,"Sainsbury’s, broccoli ",Sainsbury’s ,300g ,28.11.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 30 Nov ,30-Nov,K0087D ,Plastic ,Ambient ,Refrigerated ,0.0,300g 
244,15.0,broccoli (calabrese),15.17,"Morrisons, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Numbe r: ,,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 28.11.2011 
245,15.0,broccoli (calabrese),15.18,"Waitrose, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 28.11.2011 
