Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
wholegrain rice with quinoa,220g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,220.0,g,220.0,g
tropical fruits granola,1kg,Unknown Packaging,en:United Kingdom,Cereals,Fruit,Plant-based foods,1000.0,g,1000.0,g
granola high protein peanut oat,400 g,Unknown Packaging,United Kingdom,Cereals,Nuts and seeds,Plant-based foods,400.0,g,400.0,g
british plain flour,1.5 kg,"Bag - paper, Paper-bag",United Kingdom,Cereals,Uncategorized,Other,1500.0,g,1500.0,g
ramen noodle soup chicken flavor,85 g,,United States,Cereals,Uncategorized,Other,85.0,g,85.0,g
lasagnes,250g,"en:Box,Karton,21 PAP","Francja,Niemcy,Polska,Szwajcaria",Cereals,Uncategorized,Other,250.0,g,250.0,g
wholegrain bran flakes,420 g,,"France,United Kingdom",Cereals,Uncategorized,Other,420.0,g,420.0,g
bran flakes,1kg,,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
milled organic flaxseed,425g,"Unknown-bag, en:mixed plastic film-pouch",en:gb,Cereals,Nuts and seeds,Plant-based foods,425.0,g,425.0,g
brown basmati rice,250 g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
gronola,1kg,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
granola con avena,320 g,,"Itália,Portugal,Espanha",Cereals,Uncategorized,Other,320.0,g,320.0,g
bread flour country grain,1 kg,Unknown Packaging,en:united-kingdom,Cereals,Bakery products,Processed foods,1000.0,g,1000.0,g
cereal,240g,Unknown Packaging,en:gb,Cereals,Cereals,Plant-based foods,240.0,g,240.0,g
corona cero,330ml,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,330.0,ml,,g
sesame oil,207ml,"en:glass-bottle, en:mixedPlastic-lid","France, Germany, New Caledonia, en:united-kingdom",Cereals,Oils and fats,Other,207.0,ml,,g
honey hoops,375g,"Plastique, Sachet, Carton",France,Cereals,Uncategorized,Other,375.0,g,375.0,g
quick cooking white oats,500 g,Unknown Packaging,"Cyprus,European Union,France,Greece,Morocco,United Kingdom,United States,Qatar",Cereals,Uncategorized,Other,500.0,g,500.0,g
jumbo scottish oats,1.5kg,Unknown Packaging,"France, en:united-kingdom",Cereals,Uncategorized,Other,1500.0,g,1500.0,g
original oat-so-easy,270 g,Unknown Packaging,"France,England",Cereals,Uncategorized,Other,270.0,g,270.0,g
fragant jasmine rice,250g,en:mixed plastic film-pouch,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
flahavans organic porridge oats,500 g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,500.0,g,500.0,g
tahini,300 g,Vidrio,"Spain,United Kingdom",Cereals,Uncategorized,Other,300.0,g,300.0,g
caribbean rice peas,250g,Plastic Pouch,en:United Kingdom,Cereals,Legumes,Plant-based foods,250.0,g,250.0,g
world foods,250g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,250.0,g,250.0,g
mexican rice,250g,,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
berry burst gluten free granola,350g,,United Kingdom,Cereals,Uncategorized,Other,350.0,g,350.0,g
whole wheat fusilli,500g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
ms muesli totally nuts,600 g,Unknown Packaging,United Kingdom,Cereals,Nuts and seeds,Plant-based foods,600.0,g,600.0,g
nairns porridge,450g,en:mixed plastic-packet,United Kingdom,Cereals,Uncategorized,Other,450.0,g,450.0,g
mighty oats classic muesli fruit nut,750 g,Unknown Packaging,"France, en:united-kingdom",Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
