,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Weight,PurEqualCon,Portion Consumed,Source
159,14-387,"avocado, hass, flesh only, weighed with skin and stone",FA,Fruit,"loose, individual",0.3439578120815852,,,,
160,14-331,"apple juice, clear, ambient and chilled",FC,Fruit,"carton, tetrapak, bottle",0.39966156729995156,,,,
161,14-043,"babaco, flesh only",FA,Fruit,"loose, individual",0.4995987696019161,150g,Y,,
162,14-318,"bananas, flesh and skin",FA,Fruit,"loose, individual/bunch",0.4469807271394421,,,,
163,14-388,"blackberries, raw",FA,Fruit,punnet,0.79710022854597,200g,"Y, P",,
164,14-053,"blackcurrants, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
165,14-325,blueberries,FA,Fruit,punnet,0.0,,,,
166,14-382,"cherries, flesh and skin, raw",FA,Fruit,punnet,0.6377030814579907,250g,Y,1 raw small,
167,14-326,"citrus fruit, soft/easy peelers, flesh with skin",FA,Fruit,net,0.4759848897104173,250g,Y,1 raw small,
168,14-073,cranberries,FA,Fruit,punnet,0.0,,,,
169,14-074,currants,FA,Fruit,packet,0.0,,,,
170,14-077,"damsons, flesh and skin, raw",FA,Fruit,punnet,0.6377030814579907,250g,Y,1 raw small,
171,14-083,"dates, raw, flesh and skin",FA,Fruit,packet,0.6377030814579907,250g,Y,1 raw small,
172,14-087,dried mixed fruit,FA,Fruit,packet,0.47639143866863115,210g,Y,small can,
173,14-089,"elderberries, whole fruit",FA,Fruit,punnet,0.6090374090453259,51g,Y,standard,
174,14-100,"gooseberries, cooking, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
175,14-384,"grapefruit, flesh only, raw",FA,Fruit,"loose, individual",0.5790008214718182,250g,Y,1 raw small,
176,14-322,"grapes, green",FA,Fruit,punnet,1.0,500g,"Y, P",pack,
177,14-118,"guava, flesh only, raw",FA,Fruit,"loose, individual",0.38882124272100155,,,,
178,14-371,"kiwi fruit, flesh only, raw",FA,Fruit,"loose, individual, punnet",0.36148966668798294,,,,
179,14-373,"kiwi fruit, flesh only, raw, weighed with skin",FA,Fruit,,0.6410694176751852,250g,Y,1 raw small,
180,14-125,"kumquats, whole fruit, raw",FA,Fruit,punnet,0.4944786309404167,51g,Y,standard,
181,14-128,"lemons, whole, without pips",FA,Fruit,"loose, individual, net",0.5034234444599086,51g,Y,standard,
182,14-131,"limes, flesh only",FA,Fruit,"loose, individual, net",0.4995987696019161,150g,Y,,
183,14-132,"limes, flesh and skin",FA,Fruit,,0.4469807271394421,,,,
184,14-133,"loganberries, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
185,14-277,"lemon juice, fresh",FC,Fruit,,0.3732942656571834,,,,
186,14-378,"mangoes, ripe, flesh only, raw",FA,Fruit,"loose, individual",0.38882124272100155,,,,
187,14-379,"mangoes, raw, weighed with skin and stone",FA,Fruit,"loose, individual",0.6021332292344967,250g,Y,1 raw small,
188,14-339,"melon, canteloupe-type, flesh only",FA,Fruit,"loose, individual",0.4995987696019161,150g,Y,,
189,14-353,"melon, canteloupe-type, flesh and skin",FA,Fruit,"loose, individual",0.4469807271394421,,,,
190,14-356,"melon, flesh and skin",FA,Fruit,"loose, individual",0.4469807271394421,,,,
191,14-168,"mulberries, whole fruit, raw",FA,Fruit,punnet,0.4944786309404167,51g,Y,standard,
192,14-380,"nectarines, flesh and skin, raw",FA,Fruit,punnet,0.6377030814579907,250g,Y,1 raw small,
193,,"olives, ",FA,Fruit,"tin, jar",0.0,,,,
194,14-327,"oranges, flesh only",FA,Fruit,"loose, individual, net",0.4995987696019161,150g,Y,,
195,14-360,"oranges, flesh with peel and pips",FA,Fruit,"loose, individual, net",0.319740448146713,,,,
196,14-369,"orange juice, freshly squeezed",FC,Fruit,"carton, tetrapak, bottle",0.5816670690613766,49g,Y,bar,
197,14-361,"pears, average, flesh and skin, raw, weighed with core and stalk",F,Fruit,"loose, individual, bag",0.47580787521116363,250g,Y,1 raw small,
198,14-188,"peaches, canned in juice, whole contents",FA,Fruit,tin  ,0.4441862092202263,,,,
199,14-321,"pears, raw, flesh and skin",FA,Fruit,packet,0.6377030814579907,250g,Y,1 raw small,
200,14-376,"pineapple, flesh only, raw",FA,Fruit,"loose, individual",0.38882124272100155,,,,
201,14-377,"pineapple, flesh with skin and top",FA,Fruit,"loose, individual",0.44046611794847024,,,,
202,14-211,"pineapple, canned in juice, whole contents",FA,Fruit,"loose, individual",0.4441862092202263,,,,
203,14-396,"pineapple, dried",FA,Fruit,"loose, individual",0.0,,,,
204,14-220,"plums, victoria, flesh and skin, raw",FA,Fruit,,0.6377030814579907,250g,Y,1 raw small,
205,14-227,"pomegranate, flesh and pips, weighed with skin",FA,Fruit,"loose, individual",0.5607667432386894,250g,Y,1 raw small,
206,14-285,passion fruit juice,FC,Fruit,"carton, tetrapak, bottle",1.0000000000000002,200g,Y,individual carton,
207,14-179,"passion fruit, flesh and pips, weighed with skin",FA,Fruit,,0.5247907829548947,250g,Y,1 raw small,
208,14-341,pomegranate juice drink,FC,Fruit,"carton, tetrapak, bottle",0.6107467373168922,150g,Y,Stage 1 jars,
209,14-227,"pomegranate, flesh and pips, weighed with skin",FA,Fruit,,0.5607667432386894,250g,Y,1 raw small,
210,14-289,prune juice,FC,Fruit,"carton, tetrapak, bottle",0.8245414948477625,200g,Y,individual carton,
211,14-237,"prunes, canned in juice, whole contents",FA,Fruit,tin,0.4441862092202263,,,,
212,14-231,"prunes, flesh and skin",FA,Fruit,,0.4469807271394421,,,,
213,14-391,"prunes, ready-to-eat, semi-dried",FA,Fruit,,0.8184457305776414,125g,Y,per pot,
214,14-393,"raisins, dried",FA,Fruit,packet,0.7347334807489804,44g,Y,packet,
215,14-375,"raspberries, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
