,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
339,13-261,"Kohl rabi, raw",DG,Vegetables,"loose, individual",
340,15-809,Khadhi,DR,Vegetables,,
341,14-371,"Kiwi fruit, flesh only, raw",FA,Fruit,"loose, individual, punnet",include version with skin included if available
342,14-125,"Kumquats, whole fruit, raw",FA,Fruit,punnet,
343,16-081,"Kalabasu, raw",JA,Fish and fish products,,
344,16-186,"Katla, raw",JA,Fish and fish products,,
345,16-397,"Kippers, flesh only, grilled",JC,Fish and fish products,,
346,18-402,"Kidney, lamb, raw",MG,Meat and meat products,,
347,12-373,"Lassi, sweetened",BN,Milk and milk products,,
348,12-390,"Lollies, containing ice-cream",BP,Milk and milk products,,
349,12-389,"Lollies, with real fruit juice",BP,Milk and milk products,,
350,13-089,"Lentils, green and brown, whole, dried, raw",DB,Vegetables,,"include canned version too, if available"
351,,"Lentils,canned",DB,Vegetables,can,
352,13-624,"Leeks, raw",DG,Vegetables,"loose, individual",
353,13-520,"Lettuce, average, raw",DG,Vegetables,"loose, individual",
354,13-271,"Lotus tubers, raw",DG,Vegetables,,
355,15-651,"Lasagne, vegetable, retail",DR,Vegetables,,
356,14-128,"Lemons, whole, without pips",FA,Fruit,"loose, individual, net",
357,14-131,"Limes, flesh only",FA,Fruit,"loose, individual, net",include version with skin included if available
358,14-133,"Loganberries, raw",FA,Fruit,punnet,
359,14-278,"Lemon juice, fresh, weighed as whole fruit",FC,Fruit,,
360,16-332,"Lobster, boiled",JK,Fish and fish products,,
361,18-478,"Lamb, average, raw, lean and fat",MAE,Meat and meat products,,
362,18-111,"Lamb, breast, raw, lean",MAE,Meat and meat products,,
363,18-115,"Lamb, chump chops, raw, lean and fat",MAE,Meat and meat products,,
364,18-481,"Lamb, mince, raw",MAE,Meat and meat products,,
365,18-413,"Liver, lamb, raw",MG,Meat and meat products,,
366,19-136,"Luncheon meat, Chinese, steamed",MI,Meat and meat products,,
367,17-010,Lard,OF,Fats and oils,block,
368,17-179,Lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",
369,17-761,Lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",
370,17-751,"Lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",
371,17-244,"Liqueurs, high strength",QI,Beverages,"bottle, miniature",
372,17-777,Liquorice allsorts,SEC,"Sugars, preserves and snacks",bag,
373,11-954,"Macaroni cheese, homemade",AD,Cereals and cereal products,,
374,11-780,"Muesli, Swiss style, unfortified",AI,Cereals and cereal products,,
375,11-737,"Muffins, American, chocolate, retail",AN,Cereals and cereal products,,
376,11-848,"Mince pies, retail",AS,Cereals and cereal products,,
377,12-512,"Milk, 1% fat, pasteurised",BA,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
378,12-322,"Milk, Channel islands, whole, summer",BAB,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
379,12-307,"Milk, skimmed, pasteurised, average",BAE,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
380,12-313,"Milk, semi-skimmed, pasteurised, average",BAH,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
381,12-596,"Milk, whole, pasteurised, average",BAK,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",
382,12-520,"Milk, condensed, whole, sweetened",BAR,Milk and milk products,tin,
383,12-522,"Milk, evaporated, whole",BAR,Milk and milk products,tin,
384,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,Milk and milk products,"carton, 1L",
385,12-517,"Meringue, homemade",BR,Milk and milk products,,
386,12-401,"Mousse, chocolate, low fat",BR,Milk and milk products,,
387,12-951,"Macaroon, homemade",CDH,Eggs,,
388,13-505,"Mushrooms, white, raw",DG,Vegetables,,
389,13-298,"Mustard leaves, raw",DG,Vegetables,,
390,15-652,"Moussaka, vegetable, retail",DR,Vegetables,,
391,14-378,"Mangoes, ripe, flesh only, raw",FA,Fruit,"loose, individual",include version with skin included if available
