Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
15-208,"Nut croquettes, fried in sunflower oil, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,36.2,1.72,9.3,26.2,21.6,351,1461,18.6,0.4,2.5,N,0.0,N,N,N,0.0,,3.4,,,3.60,,,,,,,,9.40,,,,11.70,,,,,,,0.0,Unknown,Unknown
15-209,"Nut croquettes, fried in vegetable oil, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,36.2,1.72,9.3,26.2,21.6,351,1461,18.6,0.4,2.5,N,0.0,N,N,N,0.0,,3.4,,,3.40,,,,,,,,11.30,,,,9.90,,,,,,,0.0,Unknown,Unknown
15-210,"Nut cutlets, retail, fried in sunflower oil",Recipe from manufacturer,DR,,As Vegetable Dishes Supplement 1992,,51.6,0.90,4.8,22.3,18.7,289,1205,17.3,0.1,1.3,0.3,0.0,0.2,0.7,Tr,0.0,,1.7,,,2.50,,,,,,,,8.10,,,,10.50,,,,,,,0.0,Unknown,Unknown
15-211,"Nut cutlets, retail, fried in vegetable oil",Recipe from manufacturer,DR,,As Vegetable Dishes Supplement 1992,,51.6,0.90,4.8,22.3,18.7,289,1205,17.3,0.1,1.3,0.3,0.0,0.2,0.7,Tr,0.0,,1.7,,,2.40,,,,,,,,9.70,,,,9.00,,,,,,,0.0,Unknown,Unknown
15-212,"Nut cutlets, retail, grilled",Recipe from manufacturer,DR,,As Vegetable Dishes Supplement 1992,,59.3,0.96,5.1,13.0,19.9,212,886,18.4,0.1,1.4,0.3,0.0,0.2,0.8,Tr,0.0,,1.8,,,1.40,,,,,,,,6.50,,,,4.40,,,,,,,0.0,Unknown,Unknown
15-643,"Nut roast, homemade",Recipe from review of recipe collection.,DR,15-374 ,Updated 2013,,38.7,2.41,13.2,23.5,18.8,335,1395,14.4,0.3,4.1,0.4,Tr,0.4,2.8,0.5,0.0,0.0,4.0,N,,3.63,,,,,,,,12.09,,,,6.50,,,,,,0.01,0.0,Unknown,Unknown
15-214,"Nut roast, mixed nuts with egg, homemade",Recipe from review of recipe collection.,DR,,As Vegetable Dishes Supplement 1992,,37.3,2.41,13.3,24.7,16.9,338,1409,13.5,0.4,3.0,N,0.0,N,N,N,0.0,,3.9,,,3.90,,,,,,,,12.20,,,,7.00,,,,,,,33.0,Unknown,Unknown
15-221,"Nut, mushroom and rice roast, homemade",Recipe adapted from a recipe from Leeds Polytechnic,DR,,As Vegetable Dishes Supplement 1992,,48.3,1.43,7.8,15.3,24.3,260,1085,21.2,0.3,2.8,N,0.0,N,N,N,0.0,,2.7,,,2.20,,,,,,,,7.00,,,,5.20,,,,,,,0.0,Unknown,Unknown
15-824,"Okra with tomatoes and onion, Greek, homemade",Recipe,DR,15-543 ,Updated 2014,,68.1,0.41,2.8,16.7,5.0,180,745,0.4,,4.2,1.4,,1.6,1.2,0.0,0.0,0.0,4.1,N,,2.53,,,,,,,,11.59,,,,1.58,,,,,,Tr,0.0,Unknown,Unknown
15-825,"Okra with tomatoes and onion, West Indian, homemade",Recipe,DR,15-544 ,Updated 2014,,77.1,0.44,3.0,7.7,4.7,98,406,0.6,,4.0,1.2,,1.5,1.1,0.0,0.0,0.0,4.2,N,,0.74,,,,,,,,4.08,,,,2.29,,,,,,Tr,0.0,Unknown,Unknown
15-620,"Pakora, vegetable, takeaway and restaurant","11 samples, 3 from London, 3 from Birmingham, 2 from Leeds and 3 from Bradford, crispy vegetable fitters",DR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,43.2,1.34,8.4,22.0,16.5,293,1221,15.0,,1.5,0.2,0.0,0.6,0.7,0.0,0.0,0.0,4.7,3.3,,3.73,,,,,,,,5.45,,,,11.55,,,,,,Tr,,Unknown,Unknown
15-826,"Pakora/bhajia, aubergine, fried in vegetable oil, homemade",Recipe. Aubergine fried in chick pea flour batter,DR,15-545 ,Updated 2014,,45.4,1.25,7.9,22.5,17.2,294,1222,14.0,,2.1,0.8,,0.6,0.8,0.0,0.0,0.0,4.8,N,,1.63,,,,,,,,12.50,,,,7.07,,,,,,0.01,0.0,Unknown,Unknown
15-827,"Pakora/bhajia, cauliflower, fried in vegetable oil, homemade",Recipe. Cauliflour fried in chick pea flour batter,DR,15-546 ,Updated 2014,,42.1,1.46,9.2,23.9,18.2,320,1330,14.5,,2.8,0.8,,0.9,1.0,0.0,0.0,0.0,4.7,4.7,,1.71,,,,,,,,13.29,,,,7.48,,,,,,0.01,0.0,Unknown,Unknown
15-828,"Pakora/bhajia, onion, fried in vegetable oil, homemade",Recipe. Onion fried in chick pea flour batter,DR,15-547 ,Updated 2014,,40.5,1.78,11.2,14.7,24.6,270,1130,20.6,,3.4,0.8,,0.7,1.8,0.0,0.0,0.0,5.6,5.7,,1.09,,,,,,,,7.65,,,,4.90,,,,,,0.01,0.0,Unknown,Unknown
